Password,Score,Strength,Vulnerabilities
v9qh5s,54,Medium,"['Too short (< 8 chars)', 'Missing uppercase', 'Missing special characters']"
"szY8|""l\v-|Gj)wO",100,Strong,[]
`-WrH$K/}qzzOV,80,Strong,['Missing numbers']
R\B]eG_q~H,80,Strong,['Missing numbers']
LGO/M8{[p}0{^%I,100,Strong,[]
`wkw]s>@,62,Medium,"['Missing numbers', 'Missing uppercase']"
C5V25`vBn,96,Strong,[]
z4hodqp,58,Medium,"['Too short (< 8 chars)', 'Missing uppercase', 'Missing special characters']"
eBtRLNQUqn6~,100,Strong,[]
h9sY=6&P^(#b,100,Strong,[]
>b7epu=,78,Medium,"['Too short (< 8 chars)', 'Missing uppercase']"
bB*+nm>dT,76,Medium,['Missing numbers']
fWAf!k=Y0)gy,100,Strong,[]
prF>FlWR1,96,Strong,[]
56mc7h,54,Medium,"['Too short (< 8 chars)', 'Missing uppercase', 'Missing special characters']"
A3zZL9pTS\/P,100,Strong,[]
x5xc,46,Weak,"['Too short (< 8 chars)', 'Missing uppercase', 'Missing special characters']"
"BW},:Hw,s[=B`vM",80,Strong,['Missing numbers']
4K.$MF:)Lm,100,Strong,[]
"J""]_/W""E}Fnq@/s",80,Strong,['Missing numbers']
>\k4A}:,88,Strong,['Too short (< 8 chars)']
ujoU;Hq>,72,Medium,['Missing numbers']
P:8Vr+|R3,96,Strong,[]
}Q6fh]HyNEJ\,100,Strong,[]
"`LlI$rFO""/!",80,Strong,['Missing numbers']
"(dWF>""Y}+OjPyoJ",80,Strong,['Missing numbers']
"X5|t,.b|:~",100,Strong,[]
{5E.Lyvz=Lh,100,Strong,[]
]eTr[t^Ng<_y*,80,Strong,['Missing numbers']
-(CyCzzS|n.n,80,Strong,['Missing numbers']
89qmIVvL(u#l^^d@,100,Strong,[]
1zw/D$kGW}I(Rho,100,Strong,[]
",hyws4G:Ro",100,Strong,[]
s9.%hNMZv,96,Strong,[]
FeJ[FL+'_'@wye,80,Strong,['Missing numbers']
"L,zDZAm)",72,Medium,['Missing numbers']
)Sg62;3l)-c}{}d,100,Strong,[]
#|zi3eP(1&RUk:7,100,Strong,[]
113ckw,54,Medium,"['Too short (< 8 chars)', 'Missing uppercase', 'Missing special characters']"
Nsq].VJ'edqoRxQY,80,Strong,['Missing numbers']
;}8eLVV@,92,Strong,[]
"B0""'h3=r9'",100,Strong,[]
2watv~/U`Wa,100,Strong,[]
X%FQ58@lI,96,Strong,[]
"8*}7aIY0(8!""eV",100,Strong,[]
CD\MCu7:9H/=rqsA,100,Strong,[]
"z/d""]/Ut&MCj'y_",80,Strong,['Missing numbers']
x:+WV[,64,Medium,"['Too short (< 8 chars)', 'Missing numbers']"
E|t]|NZ^%,76,Medium,['Missing numbers']
uMPGvU.g5@lXR!W,100,Strong,[]
